Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1738,Oslam2@qfnetwork.org,paid,2025-08-21 13:36:39 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",0.00,Economy,2025-08-21 13:36:38 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,Testing Order,1300 Ocean Avenue North,1300 Ocean Avenue North,,,Asbury Park,07712,NJ,US,,Testing Order,1300 Ocean Avenue North,1300 Ocean Avenue North,,,Asbury Park,07712,NJ,US,,TEsting Flow Chart Notes,"",,(for testing) Bogus Gateway,r3x3FpSa4bjfOTGr33AMp4Nff,0.00,Arabic Book A Month USA,0.00,,,,6142422646920,"",Low,web,0.00,,,,,,,,,,,,,,New Jersey,New Jersey,r3x3FpSa4bjfOTGr33AMp4Nff,,,r3x3FpSa4bjfOTGr33AMp4Nff + #1738.2
#1739,osman212@gmail.com,paid,2025-08-21 13:40:14 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",0.00,Economy,2025-08-21 13:40:12 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,MAL KIT,"9503 Research Boulevard, Suite 250",9503 Research Boulevard,Suite 250,,Austin,78759,TX,US,,MAL KIT,"9503 Research Boulevard, Suite 250",9503 Research Boulevard,Suite 250,,Austin,78759,TX,US,,TEsting Flow Chart Notes,"",,(for testing) Bogus Gateway,r312sEG63SAuYZeNzZKeCudZu,0.00,Arabic Book A Month USA,0.00,,,,6142429003912,"",Low,web,0.00,,,,,,,,,,,,,,Texas,Texas,r312sEG63SAuYZeNzZKeCudZu,,,r312sEG63SAuYZeNzZKeCudZu + #1739.2
#1740,opilski@isotec.de,paid,2025-08-21 13:45:56 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",0.00,Economy,2025-08-21 13:45:55 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,Testing Order,830 Lily Lane,830 Lily Lane,,,Grand Rapids,55744,MN,US,,Testing Order,830 Lily Lane,830 Lily Lane,,,Grand Rapids,55744,MN,US,,TEsting Flow Chart Notes,"",,(for testing) Bogus Gateway,r9e6EpZ79uXGDFaVnkRoxMP1h,0.00,Arabic Book A Month USA,0.00,,,,6142437687432,"",Low,web,0.00,,,,,,,,,,,,,,Minnesota,Minnesota,r9e6EpZ79uXGDFaVnkRoxMP1h,,,r9e6EpZ79uXGDFaVnkRoxMP1h + #1740.2
#1741,oster12@gmail.com,paid,2025-08-21 13:49:23 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",26.00,Economy,2025-08-21 13:49:22 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,Testing Order,ASV atklātais čempionāts tenisā,ASV atklātais čempionāts tenisā,,,Flushing,11368,NY,US,,Testing Order,ASV atklātais čempionāts tenisā,ASV atklātais čempionāts tenisā,,,Flushing,11368,NY,US,,"","",,(for testing) Bogus Gateway,rYb6Ra60yf9wzxuOY4T1R059B,0.00,Arabic Book A Month USA,0.00,,,,6142443421832,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,New York,New York,rYb6Ra60yf9wzxuOY4T1R059B,,,rYb6Ra60yf9wzxuOY4T1R059B + #1741.2
#1741,oster12@gmail.com,,,,,,,,,,,,,,2025-08-21 13:49:22 -0400,1,الأرنبة أرنوبة,13.00,0.00,BoardJarir47,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,13.00,,,,,,,,,,,,,,,,,,,
#1741,oster12@gmail.com,,,,,,,,,,,,,,2025-08-21 13:49:22 -0400,1,The  ladybug Koka / الدعسوقة كوكة,13.00,0.00,BoardJarir48,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,13.00,,,,,,,,,,,,,,,,,,,
#1742,Abbre12@qfnetwork.org,paid,2025-08-21 13:54:31 -0400,unfulfilled,,no,USD,136.71,0.00,0.00,136.71,"",15.00,Economy,2025-08-21 13:54:23 -0400,3,Monthly Subscription - 2 books,45.57,147.00,PictureYasmine200,true,true,pending,Testing Order,335 West Main Street,335 West Main Street,,,Hillsborough,03244,NH,US,,Testing Order,335 West Main Street,335 West Main Street,,,Hillsborough,03244,NH,US,,"","",,(for testing) Bogus Gateway,rEmP7YOIpeVuAjkkz103W2fIU,0.00,Arabic Book A Month USA,0.00,,,,6142450565256,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,New Hampshire,New Hampshire,rEmP7YOIpeVuAjkkz103W2fIU,,,rEmP7YOIpeVuAjkkz103W2fIU + #1742.2
#1742,Abbre12@qfnetwork.org,,,,,,,,,,,,,,2025-08-21 13:54:23 -0400,1,Karma's Rabbit/ أرنب كرمة,15.00,0.00,this NoBooks,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,
#1742,Abbre12@qfnetwork.org,,,,,,,,,,,,,,2025-08-21 13:54:23 -0400,1,Mama’s Birthday/عيد ماما,0.00,0.00,pictureyasmine35,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1743,majemiteokoro@gmail.com,paid,2025-08-21 14:05:08 -0400,unfulfilled,,no,USD,136.71,0.00,0.00,136.71,"",0.00,Economy,2025-08-21 14:05:07 -0400,3,Monthly Subscription - 2 books,45.57,147.00,PictureYasmine200,true,true,pending,STATE Shopify DEVELOPER,"211 West Main Street, SUITE 200",211 West Main Street,SUITE 200,,Carmel,46032,IN,US,,STATE Shopify DEVELOPER,"211 West Main Street, SUITE 200",211 West Main Street,SUITE 200,,Carmel,46032,IN,US,,TEsting Flow Chart Notes,"",,(for testing) Bogus Gateway,rh8oHW7w0le11QuYJEuA3t74Y,0.00,Arabic Book A Month USA,0.00,,,,6142467244168,"",Low,web,0.00,,,,,,,,,,,,,,Indiana,Indiana,rh8oHW7w0le11QuYJEuA3t74Y,,,rh8oHW7w0le11QuYJEuA3t74Y + #1743.2
